"Year","Header","Source","URL"
2009,"Модели Kia в каталоге автомобилей Киа, весь модельный ряд…","WhoByCar.com/ru/a/kia","http://WhoByCar.com/ru/a/kia/"
2009,"Каталог моделей Kia (Киа), модельный ряд... - Авто…","cars.mail.ru/catalog/kia","https://cars.mail.ru/catalog/kia/"
2009,"Kia: фотографии всех моделей и поколений — Бибипедия","www.bibipedia.info/media/decide/kia","http://www.bibipedia.info/media/decide/kia"
2009,"Модельный ряд Kia - цены и комплектации автомобилей Киа…","www.kia.ru/models","https://www.kia.ru/models/"
2009,"KIA - полный каталог моделей, характеристики, отзывы...","www.MotorPage.ru/Kia","http://www.MotorPage.ru/Kia/"
2009,"Kia Ceed — история модели | Митрич 19 мая 2009","wroom.ru/cars/kia/ceed/history","http://wroom.ru/cars/kia/ceed/history"
2009,"марка Kia, модель Kia Sportage, год выпуска от 2006 до …","avto-russia.ru/cars/search.php?...","http://avto-russia.ru/cars/search.php?MARKA=Kia&MODEL=Kia+Sportage&GODVYPUSKAmin=2006&GODVYPUSKAmax=2009&TSENAmax=550000"
2009,"Каталог новых автомобилей kia | Снятые с производсва …","www.kreditovik.ru/catalog.php?marka=kia","http://www.kreditovik.ru/catalog.php?marka=kia"
2009,"KIA в Москве. Цены, характеристики, модели... -…","narule.ru/cars/kia/?arhiv=1","http://narule.ru/cars/kia/?arhiv=1"
2010,"Модели Kia в каталоге автомобилей Киа, весь модельный ряд…","WhoByCar.com/ru/a/kia","http://WhoByCar.com/ru/a/kia/"
2010,"Kia Magentis III седан (с 2009 по 2010) - описание... - Авто…","cars.mail.ru/catalog/kia/magentis/iii/sedan","https://cars.mail.ru/catalog/kia/magentis/iii/sedan/"
2010,"Kia: фотографии всех моделей и поколений — Бибипедия","www.bibipedia.info/media/decide/kia","http://www.bibipedia.info/media/decide/kia"
2010,"KIA - полный каталог моделей, характеристики, отзывы...","www.MotorPage.ru/Kia","http://www.MotorPage.ru/Kia/"
2010,"Модельный ряд Kia - цены и комплектации автомобилей Киа…","avanta.kia.ru/models","http://avanta.kia.ru/models/"
2010,"Kia cee’d — Википедия","ru.wikipedia.org/wiki/Kia_cee%E2%80%99d","https://ru.wikipedia.org/wiki/Kia_cee%E2%80%99d"
2010,"Модели Kia 2009 – Купить Модели Kia 2009 недорого из…","ru.aliexpress.com/popular/kia-models-2009.html","http://ru.aliexpress.com/popular/kia-models-2009.html"
2010,"Kia Ceed — история модели | Митрич 19 мая 2009","wroom.ru/cars/kia/ceed/history","http://wroom.ru/cars/kia/ceed/history"
2011,"KIA Rio 2009 - 2011 - вся информация про КИА Рио II…","www.MotorPage.ru/Kia/Rio/II_rest","http://www.MotorPage.ru/Kia/Rio/II_rest/"
2011,"Каталог моделей Kia (Киа), модельный ряд... - Авто…","cars.mail.ru/catalog/kia","https://cars.mail.ru/catalog/kia/"
2011,"KIA - полный каталог моделей, характеристики, отзывы...","www.MotorPage.ru/Kia","http://www.MotorPage.ru/Kia/"
2011,"2009 Модели Kia – Купить 2009 Модели Kia недорого из…","ru.aliexpress.com/popular/2009-kia-models.html","http://ru.aliexpress.com/popular/2009-kia-models.html"
2011,"Kia: фотографии всех моделей и поколений — Бибипедия","www.bibipedia.info/media/decide/kia","http://www.bibipedia.info/media/decide/kia"
2011,"Kia cee'd рестайлинг 2010, 2011, 2012, 1 поколение...","www.drom.ru/catalog/kia/cee~d/g_2010_1428","http://www.drom.ru/catalog/kia/cee~d/g_2010_1428/"
2011,"Kia Ceed — история модели | Митрич 19 мая 2009","wroom.ru/cars/kia/ceed/history","http://wroom.ru/cars/kia/ceed/history"
2011,"Каталог автомобилей – каталог новых авто с ценами...","autorambler.ru/catalog/Kia","https://autorambler.ru/catalog/Kia/"
2012,"Модели Kia в каталоге автомобилей Киа, весь модельный…","WhoByCar.com/ru/a/kia","http://WhoByCar.com/ru/a/kia/"
2012,"KIA - полный каталог моделей, характеристики, отзывы...","www.MotorPage.ru/Kia","http://www.MotorPage.ru/Kia/"
2012,"Каталог моделей Kia (Киа), модельный ряд... - Авто…","cars.mail.ru/catalog/kia","https://cars.mail.ru/catalog/kia/"
2012,"Kia Ceed — история модели | Митрич 19 мая 2009","wroom.ru/cars/kia/ceed/history","http://wroom.ru/cars/kia/ceed/history"
2012,"Kia cee'd рестайлинг 2010, 2011, 2012, 1 поколение...","www.drom.ru/catalog/kia/cee~d/g_2010_1428","http://www.drom.ru/catalog/kia/cee~d/g_2010_1428/"
2012,"Rio - год: 2015,2014,2012,2010,2013,2016,2011,2009","ru.aliexpress.com/.../32538034731.html","http://ru.aliexpress.com/item/9-inch-big-1024-600-screen-Quad-core-Android-4-4-Car-dvd-gps-for-Kia/32538034731.html"
2012,"Пороги, подножки, ступени для Kia Sorento 2010 »…","MixTuning.ru/model/138/year/2010/category/15","https://MixTuning.ru/model/138/year/2010/category/15/"
2012,"Kia: фотографии всех моделей и поколений — Бибипедия","www.bibipedia.info/media/decide/kia","http://www.bibipedia.info/media/decide/kia"
2012,"Модельный ряд Kia на Авто.ру","auto.ru/catalog/cars/kia","https://auto.ru/catalog/cars/kia"
2013,"Модели Kia в каталоге автомобилей Киа, весь модельный…","WhoByCar.com/ru/a/kia","http://WhoByCar.com/ru/a/kia/"
2013,"KIA - полный каталог моделей, характеристики, отзывы...","www.MotorPage.ru/Kia","http://www.MotorPage.ru/Kia/"
